DATE,ORG_CODE,GRADE_SORT_ORDER,GRADE,SPECIALITY_GROUP,SPECIALTY,FTE
30/09/2017,RFR,3,Specialty Doctor,Surgical group,General surgery,3
30/09/2017,RFR,3,Specialty Doctor,Surgical group,Ophthalmology,4
30/09/2017,RFR,3,Specialty Doctor,Surgical group,Otolaryngology,1
30/09/2017,RFR,3,Specialty Doctor,Surgical group,Trauma and orthopaedic surgery,5
30/09/2017,RFR,4,Staff Grade,Obstetrics & gynaecology,Community Sexual and Reproductive Health,0.3
30/09/2017,RFR,5,Specialty Registrar,Anaesthetics,Anaesthetics,1
30/09/2017,RFR,5,Specialty Registrar,Dental group,Oral and maxillo-facial surgery,1
30/09/2017,RTG,6,Core Training,General medicine group,Cardiology,2
30/09/2017,RTG,6,Core Training,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RTG,6,Core Training,General medicine group,Gastroenterology,1
30/09/2017,RTG,6,Core Training,General medicine group,General (internal) medicine,1
30/09/2017,RTG,6,Core Training,General medicine group,Geriatric medicine,2.69375
30/09/2017,RTG,6,Core Training,General medicine group,Neurology,3
30/09/2017,RTG,6,Core Training,General medicine group,Renal medicine,2
30/09/2017,RTG,6,Core Training,General medicine group,Respiratory medicine,2
30/09/2017,RTG,6,Core Training,Pathology group,Haematology,1
30/09/2017,RTG,6,Core Training,Surgical group,General surgery,8
30/09/2017,RTG,6,Core Training,Surgical group,Otolaryngology,1
30/09/2017,RTG,6,Core Training,Surgical group,Trauma and orthopaedic surgery,4
30/09/2017,RTG,6,Core Training,Surgical group,Urology,2
30/09/2017,RTG,7,Foundation Doctor Year 2,Anaesthetics,Anaesthetics,9.56875
30/09/2017,RTG,7,Foundation Doctor Year 2,Clinical oncology,Clinical oncology,3
30/09/2017,RTG,7,Foundation Doctor Year 2,Emergency Medicine,Emergency Medicine,4
30/09/2017,RTG,7,Foundation Doctor Year 2,General medicine group,Acute Internal Medicine,1
30/09/2017,RNQ,6,Core Training,Surgical group,General surgery,5
30/09/2017,RNQ,6,Core Training,Surgical group,Otolaryngology,4
30/09/2017,04K,9,Hospital Practitioner / Clinical Assistant,General medicine group,General Med Practitioner,2.34666
30/09/2017,04K,9,Hospital Practitioner / Clinical Assistant,General medicine group,General Practice (GP) 6 month Training,0.3
30/09/2017,04K,10,Other and Local HCHS Doctor Grades,PHM & CHS group,Public Health Medicine,0.21333
30/09/2017,04L,9,Hospital Practitioner / Clinical Assistant,General medicine group,General Med Practitioner,0.42667
30/09/2017,04Q,9,Hospital Practitioner / Clinical Assistant,General medicine group,General Med Practitioner,0.5
30/09/2017,04V,9,Hospital Practitioner / Clinical Assistant,General medicine group,General Med Practitioner,0.2
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,26.91
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Dental group,Dental and Maxillofacial Radiology,0.1
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Dental group,Oral and maxillo-facial surgery,2
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,1
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,7.9
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,Acute Internal Medicine,2
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,Cardiology,1.6
30/09/2017,RGR,3,Specialty Doctor,Anaesthetics,Anaesthetics,2.6
30/09/2017,RGR,3,Specialty Doctor,General medicine group,Cardiology,1
30/09/2017,RGR,3,Specialty Doctor,General medicine group,Dermatology,0.05
30/09/2017,RGR,3,Specialty Doctor,General medicine group,Gastroenterology,1
30/09/2017,RGR,3,Specialty Doctor,General medicine group,General (internal) medicine,1
30/09/2017,RGR,3,Specialty Doctor,General medicine group,Medical oncology,0.0375
30/09/2017,RGR,3,Specialty Doctor,Obstetrics & gynaecology,Obstetrics and Gynaecology,0.1
30/09/2017,RGR,3,Specialty Doctor,Paediatric group,Paediatrics,3.9
30/09/2017,RGR,3,Specialty Doctor,Surgical group,Otolaryngology,1
30/09/2017,RGR,3,Specialty Doctor,Surgical group,Plastic surgery,1
30/09/2017,RGR,5,Specialty Registrar,Anaesthetics,Anaesthetics,9
30/09/2017,RGR,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,11.2
30/09/2017,RGR,5,Specialty Registrar,General medicine group,Cardiology,2
30/09/2017,RGR,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RGR,5,Specialty Registrar,General medicine group,Gastroenterology,2
30/09/2017,RGR,5,Specialty Registrar,General medicine group,General (internal) medicine,9
30/09/2017,RGR,5,Specialty Registrar,General medicine group,Geriatric medicine,1
30/09/2017,RFR,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,6.6
30/09/2017,RFR,5,Specialty Registrar,General medicine group,Cardiology,2
30/09/2017,RFR,5,Specialty Registrar,General medicine group,Dermatology,1
30/09/2017,RFR,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RFR,5,Specialty Registrar,General medicine group,Geriatric medicine,3
30/09/2017,RFR,5,Specialty Registrar,General medicine group,Other,1
30/09/2017,RFR,5,Specialty Registrar,General medicine group,Palliative medicine,1
30/09/2017,RFR,5,Specialty Registrar,General medicine group,Renal medicine,1
30/09/2017,RFR,5,Specialty Registrar,General medicine group,Respiratory medicine,1
30/09/2017,RFR,5,Specialty Registrar,General medicine group,Rheumatology,1
30/09/2017,RFR,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,14.2
30/09/2017,RFR,5,Specialty Registrar,Paediatric group,Paediatrics,18.2
30/09/2017,RFR,5,Specialty Registrar,Pathology group,Haematology,1.5
30/09/2017,RFR,5,Specialty Registrar,Surgical group,General surgery,4.6
30/09/2017,RFR,5,Specialty Registrar,Surgical group,Ophthalmology,1
30/09/2017,RFR,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,5
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,1.7
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,Endocrinology and diabetes mellitus,4.23
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,Gastroenterology,4.88
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,General (internal) medicine,7.53
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,Genito-urinary medicine,2
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,3.4
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,Palliative medicine,2
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,Respiratory medicine,2.4
30/09/2017,RFS,1,Consultant (including Directors of Public Health),General medicine group,Rheumatology,2
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Obstetrics and Gynaecology,10.35
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Paediatric group,Paediatrics,14.33
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Pathology group,Chemical pathology,1
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Pathology group,Haematology,4.88
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Pathology group,Histopathology,5.2
30/09/2017,RGR,5,Specialty Registrar,General medicine group,Palliative medicine,1
30/09/2017,RGR,5,Specialty Registrar,General medicine group,Respiratory medicine,1
30/09/2017,RGR,5,Specialty Registrar,General medicine group,Rheumatology,1
30/09/2017,RGR,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,9
30/09/2017,RGR,5,Specialty Registrar,Paediatric group,Paediatrics,9
30/09/2017,RGR,5,Specialty Registrar,Pathology group,Haematology,1
30/09/2017,RGR,5,Specialty Registrar,Pathology group,Histopathology,0.9
30/09/2017,RGR,5,Specialty Registrar,Surgical group,General surgery,7
30/09/2017,RGR,5,Specialty Registrar,Surgical group,Ophthalmology,5
30/09/2017,RGR,5,Specialty Registrar,Surgical group,Otolaryngology,3
30/09/2017,RGR,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,9
30/09/2017,RGR,5,Specialty Registrar,Surgical group,Urology,1
30/09/2017,RGR,6,Core Training,Anaesthetics,Anaesthetics,7.71875
30/09/2017,RGR,6,Core Training,General medicine group,Acute Internal Medicine,1
30/09/2017,RGR,6,Core Training,General medicine group,Cardiology,1
30/09/2017,RGR,6,Core Training,General medicine group,Gastroenterology,1
30/09/2017,RGR,6,Core Training,General medicine group,General (internal) medicine,6
30/09/2017,RGR,6,Core Training,General medicine group,Respiratory medicine,2
30/09/2017,RFR,5,Specialty Registrar,Surgical group,Urology,2
30/09/2017,RFR,6,Core Training,Anaesthetics,Anaesthetics,3
30/09/2017,RFR,6,Core Training,Dental group,Oral and maxillo-facial surgery,8
30/09/2017,RFR,6,Core Training,Emergency Medicine,Emergency Medicine,1
30/09/2017,RFR,6,Core Training,General medicine group,Cardiology,1
30/09/2017,RFR,6,Core Training,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RFR,6,Core Training,General medicine group,Gastroenterology,1
30/09/2017,RFR,6,Core Training,General medicine group,Geriatric medicine,3.8
30/09/2017,RFR,6,Core Training,General medicine group,Rehabilitation medicine,1
30/09/2017,RFR,6,Core Training,General medicine group,Respiratory medicine,1
30/09/2017,RFR,6,Core Training,Obstetrics & gynaecology,Obstetrics and Gynaecology,1
30/09/2017,RFR,6,Core Training,Pathology group,Haematology,1
30/09/2017,RFR,6,Core Training,Surgical group,General surgery,5
30/09/2017,RFR,6,Core Training,Surgical group,Trauma and orthopaedic surgery,2
30/09/2017,RFR,6,Core Training,Surgical group,Urology,1
30/09/2017,RFR,7,Foundation Doctor Year 2,Anaesthetics,Intensive care medicine,1
30/09/2017,RFR,7,Foundation Doctor Year 2,Emergency Medicine,Emergency Medicine,1
30/09/2017,RGR,6,Core Training,Obstetrics & gynaecology,Obstetrics and Gynaecology,1
30/09/2017,RGR,6,Core Training,PHM & CHS group,Public Health Medicine,2
30/09/2017,RGR,6,Core Training,Surgical group,General surgery,1
30/09/2017,RGR,6,Core Training,Surgical group,Otolaryngology,1
30/09/2017,RGR,6,Core Training,Surgical group,Trauma and orthopaedic surgery,2
30/09/2017,RGR,6,Core Training,Surgical group,Urology,1
30/09/2017,RGR,7,Foundation Doctor Year 2,Emergency Medicine,Emergency Medicine,3
30/09/2017,RGR,7,Foundation Doctor Year 2,General medicine group,General (internal) medicine,16
30/09/2017,RGR,7,Foundation Doctor Year 2,General medicine group,General Practice (GP) 6 month Training,3
30/09/2017,RGR,7,Foundation Doctor Year 2,General medicine group,Medical oncology,2
30/09/2017,RGR,7,Foundation Doctor Year 2,Obstetrics & gynaecology,Obstetrics and Gynaecology,1
30/09/2017,RGR,7,Foundation Doctor Year 2,Paediatric group,Paediatrics,2
30/09/2017,RGR,7,Foundation Doctor Year 2,PHM & CHS group,Public Health Medicine,1
30/09/2017,RGR,7,Foundation Doctor Year 2,Psychiatry group,General psychiatry,2
30/09/2017,RGR,7,Foundation Doctor Year 2,Surgical group,General surgery,2
30/09/2017,RGR,7,Foundation Doctor Year 2,Surgical group,Otolaryngology,1
30/09/2017,RGR,7,Foundation Doctor Year 2,Surgical group,Trauma and orthopaedic surgery,4
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Pathology group,Medical microbiology,2.7
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Psychiatry group,Child and adolescent psychiatry,5.1
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Radiology group,Clinical radiology,10.14
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Surgical group,General surgery,16
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Surgical group,Ophthalmology,5.59
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Surgical group,Otolaryngology,3
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Surgical group,Trauma and orthopaedic surgery,11.76
30/09/2017,RFS,1,Consultant (including Directors of Public Health),Surgical group,Urology,2.71
30/09/2017,RFS,2,Associate Specialist,Anaesthetics,Anaesthetics,0.85
30/09/2017,RFS,2,Associate Specialist,Dental group,Oral and maxillo-facial surgery,0.2
30/09/2017,RFS,2,Associate Specialist,Emergency Medicine,Emergency Medicine,6.95
30/09/2017,RFS,2,Associate Specialist,General medicine group,Cardiology,0.28
30/09/2017,RFS,2,Associate Specialist,Obstetrics & gynaecology,Obstetrics and Gynaecology,0.4
30/09/2017,RFS,2,Associate Specialist,Paediatric group,Paediatrics,1.58
30/09/2017,RFS,2,Associate Specialist,Surgical group,Ophthalmology,4
30/09/2017,RGR,7,Foundation Doctor Year 2,Surgical group,Urology,1
30/09/2017,RGR,8,Foundation Doctor Year 1,Emergency Medicine,Emergency Medicine,1
30/09/2017,RGR,8,Foundation Doctor Year 1,General medicine group,Cardiology,1
30/09/2017,RGR,8,Foundation Doctor Year 1,General medicine group,General (internal) medicine,15
30/09/2017,RGR,8,Foundation Doctor Year 1,General medicine group,Geriatric medicine,1
30/09/2017,RGR,8,Foundation Doctor Year 1,PHM & CHS group,Public Health Medicine,2
30/09/2017,RGR,8,Foundation Doctor Year 1,Psychiatry group,General psychiatry,1
30/09/2017,RGR,8,Foundation Doctor Year 1,Surgical group,General surgery,7
30/09/2017,RGR,9,Hospital Practitioner / Clinical Assistant,Emergency Medicine,Emergency Medicine,0.09091
30/09/2017,RGR,9,Hospital Practitioner / Clinical Assistant,General medicine group,Dermatology,0.11472
30/09/2017,RGT,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,78.33636
30/09/2017,RGT,1,Consultant (including Directors of Public Health),Anaesthetics,Intensive care medicine,13
30/09/2017,RGT,1,Consultant (including Directors of Public Health),Clinical oncology,Clinical oncology,20.35
30/09/2017,RGT,1,Consultant (including Directors of Public Health),Dental group,Oral and maxillo-facial surgery,4
30/09/2017,RGT,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,1
30/09/2017,RGT,1,Consultant (including Directors of Public Health),Dental group,Restorative dentistry,1.7
30/09/2017,RFS,2,Associate Specialist,Surgical group,Otolaryngology,1
30/09/2017,RFS,2,Associate Specialist,Surgical group,Trauma and orthopaedic surgery,1
30/09/2017,RFS,3,Specialty Doctor,Anaesthetics,Anaesthetics,3.94
30/09/2017,RFS,3,Specialty Doctor,Dental group,Oral and maxillo-facial surgery,0.2
30/09/2017,RFS,3,Specialty Doctor,Emergency Medicine,Emergency Medicine,2
30/09/2017,RFS,3,Specialty Doctor,General medicine group,Dermatology,0.75
30/09/2017,RFS,3,Specialty Doctor,General medicine group,General (internal) medicine,2
30/09/2017,RFS,3,Specialty Doctor,Paediatric group,Paediatrics,4.25
30/09/2017,RFS,3,Specialty Doctor,Psychiatry group,Child and adolescent psychiatry,1
30/09/2017,RFS,3,Specialty Doctor,Surgical group,General surgery,2
30/09/2017,RFS,3,Specialty Doctor,Surgical group,Otolaryngology,1
30/09/2017,RFS,3,Specialty Doctor,Surgical group,Trauma and orthopaedic surgery,0.6
30/09/2017,RFS,5,Specialty Registrar,Anaesthetics,Anaesthetics,4
30/09/2017,RFS,5,Specialty Registrar,Dental group,Oral and maxillo-facial surgery,2
30/09/2017,RFS,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,6
30/09/2017,RFS,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RFS,5,Specialty Registrar,General medicine group,General (internal) medicine,16.6
30/09/2017,RFR,7,Foundation Doctor Year 2,General medicine group,Acute Internal Medicine,1
30/09/2017,RFR,7,Foundation Doctor Year 2,General medicine group,Dermatology,1
30/09/2017,RFR,7,Foundation Doctor Year 2,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RFR,7,Foundation Doctor Year 2,General medicine group,General Practice (GP) 6 month Training,3
30/09/2017,RFR,7,Foundation Doctor Year 2,General medicine group,Geriatric medicine,2
30/09/2017,RFR,7,Foundation Doctor Year 2,General medicine group,Rheumatology,1
30/09/2017,RFR,7,Foundation Doctor Year 2,Paediatric group,Paediatrics,1
30/09/2017,RFR,7,Foundation Doctor Year 2,Psychiatry group,General psychiatry,2
30/09/2017,RFR,7,Foundation Doctor Year 2,Surgical group,Ophthalmology,1
30/09/2017,RFR,7,Foundation Doctor Year 2,Surgical group,Trauma and orthopaedic surgery,1
30/09/2017,RFR,8,Foundation Doctor Year 1,General medicine group,Acute Internal Medicine,2
30/09/2017,RFR,8,Foundation Doctor Year 1,General medicine group,Cardiology,1
30/09/2017,RFR,8,Foundation Doctor Year 1,General medicine group,Endocrinology and diabetes mellitus,2
30/09/2017,RFR,8,Foundation Doctor Year 1,General medicine group,Geriatric medicine,4
30/09/2017,RFR,8,Foundation Doctor Year 1,General medicine group,Respiratory medicine,2
30/09/2017,RFR,8,Foundation Doctor Year 1,Psychiatry group,General psychiatry,2
30/09/2017,RGT,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,17
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Acute Internal Medicine,11.3
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Cardiology,6
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Clinical genetics,6.6
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Clinical neurophysiology,2.2
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Clinical pharmacology and therapeutics,1
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Clinical physiology,1
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,9.22
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Endocrinology and diabetes mellitus,5.85
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Gastroenterology,9.9
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,General (internal) medicine,3
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,12.2527
30/09/2017,RGT,1,Consultant (including Directors of Public Health),General medicine group,Infectious diseases,4
30/09/2017,RFR,8,Foundation Doctor Year 1,Psychiatry group,Old age psychiatry,2
30/09/2017,RFR,8,Foundation Doctor Year 1,Surgical group,General surgery,8
30/09/2017,RFR,8,Foundation Doctor Year 1,Surgical group,Trauma and orthopaedic surgery,2
30/09/2017,RFR,9,Hospital Practitioner / Clinical Assistant,General medicine group,Dermatology,0.54545
30/09/2017,RFR,9,Hospital Practitioner / Clinical Assistant,General medicine group,General Med Practitioner,0.10636
30/09/2017,RFR,9,Hospital Practitioner / Clinical Assistant,General medicine group,Respiratory medicine,0.09091
30/09/2017,RFR,9,Hospital Practitioner / Clinical Assistant,Obstetrics & gynaecology,Community Sexual and Reproductive Health,0.09091
30/09/2017,RFR,10,Other and Local HCHS Doctor Grades,General medicine group,General (internal) medicine,1
30/09/2017,RFR,10,Other and Local HCHS Doctor Grades,PHM & CHS group,Community Health Service Dental,9.59333
30/09/2017,RFR,10,Other and Local HCHS Doctor Grades,PHM & CHS group,Community Health Service Medical,0.52162
30/09/2017,RFR,10,Other and Local HCHS Doctor Grades,PHM & CHS group,General Dental Practitioner,2.6
30/09/2017,RGD,1,Consultant (including Directors of Public Health),Psychiatry group,Child and adolescent psychiatry,3
30/09/2017,RGD,1,Consultant (including Directors of Public Health),Psychiatry group,Forensic psychiatry,3
30/09/2017,RGD,1,Consultant (including Directors of Public Health),Psychiatry group,General psychiatry,42.95
30/09/2017,RGD,1,Consultant (including Directors of Public Health),Psychiatry group,Old age psychiatry,6.05
30/09/2017,RGD,1,Consultant (including Directors of Public Health),Psychiatry group,Psychiatry of learning disability,5
30/09/2017,RGD,1,Consultant (including Directors of Public Health),Psychiatry group,Psychotherapy,2.975
30/09/2017,RGD,2,Associate Specialist,Psychiatry group,Forensic psychiatry,1
30/09/2017,RGD,2,Associate Specialist,Psychiatry group,General psychiatry,3
