ORG_CODE,DATE,POPULATION,QUESTION,RATING_SCORE
1-256729774,17/05/2017,Community health services for adults,Responsive,1
1-256729774,17/05/2017,Community health services for adults,Well-led,0
1-256729774,17/05/2017,Community health services for adults,Overall,0
1-256729774,17/05/2017,"Community health services for children, young people and families",Safe,1
1-256729774,17/05/2017,"Community health services for children, young people and families",Effective,2
1-256729774,17/05/2017,"Community health services for children, young people and families",Caring,2
1-256729774,17/05/2017,"Community health services for children, young people and families",Responsive,2
1-256729774,17/05/2017,"Community health services for children, young people and families",Well-led,2
1-256729774,17/05/2017,"Community health services for children, young people and families",Overall,2
1-2642739822,09/10/2017,Community health inpatient services,Safe,2
1-2642739822,09/10/2017,Community health inpatient services,Effective,2
1-2642739822,09/10/2017,Community health inpatient services,Caring,2
1-2642739822,09/10/2017,Community health inpatient services,Responsive,2
1-2642739822,09/10/2017,Community health inpatient services,Well-led,2
1-2642739822,09/10/2017,Community health inpatient services,Overall,2
1-2642739822,09/10/2017,Community health services for adults,Safe,2
1-2642739822,09/10/2017,Community health services for adults,Effective,2
1-2642739822,09/10/2017,Community health services for adults,Caring,3
1-2642739822,09/10/2017,Community health services for adults,Responsive,3
1-2642739822,09/10/2017,Community health services for adults,Well-led,3
1-2642739822,09/10/2017,Community health services for adults,Overall,3
1-2642739822,09/10/2017,Community mental health services for people with learning disabilities or autism,Safe,2
1-2642739822,09/10/2017,Community mental health services for people with learning disabilities or autism,Effective,2
1-2642739822,09/10/2017,Community mental health services for people with learning disabilities or autism,Caring,2
1-2642739822,09/10/2017,Community mental health services for people with learning disabilities or autism,Responsive,2
1-2642739822,09/10/2017,Community mental health services for people with learning disabilities or autism,Well-led,2
1-2642739822,09/10/2017,Community mental health services for people with learning disabilities or autism,Overall,2
1-2642739822,09/10/2017,Overall,Safe,2
1-2642739822,09/10/2017,Overall,Effective,2
1-2642739822,09/10/2017,Overall,Caring,2
1-2642739822,09/10/2017,Overall,Responsive,2
1-2642739822,09/10/2017,Overall,Well-led,1
1-2642739822,09/10/2017,Overall,Overall,2
1-2642739822,09/10/2017,Urgent care services,Safe,1
1-2642739822,09/10/2017,Urgent care services,Effective,2
1-2642739822,09/10/2017,Urgent care services,Caring,2
1-2642739822,09/10/2017,Urgent care services,Responsive,2
1-2642739822,09/10/2017,Urgent care services,Well-led,1
1-2642739822,09/10/2017,Urgent care services,Overall,1
1-271962340,19/10/2016,Acute wards for adults of working age and psychiatric intensive care units,Safe,2
1-271962340,19/10/2016,Acute wards for adults of working age and psychiatric intensive care units,Effective,2
1-271962340,19/10/2016,Acute wards for adults of working age and psychiatric intensive care units,Caring,3
1-271962340,19/10/2016,Acute wards for adults of working age and psychiatric intensive care units,Responsive,2
1-271962340,19/10/2016,Acute wards for adults of working age and psychiatric intensive care units,Well-led,3
1-271962340,19/10/2016,Acute wards for adults of working age and psychiatric intensive care units,Overall,3
1-271962340,07/08/2018,Child and adolescent mental health wards,Safe,1
1-271962340,07/08/2018,Child and adolescent mental health wards,Effective,2
1-271962340,07/08/2018,Child and adolescent mental health wards,Caring,2
1-271962340,07/08/2018,Child and adolescent mental health wards,Responsive,2
1-271962340,07/08/2018,Child and adolescent mental health wards,Well-led,1
1-271962340,07/08/2018,Child and adolescent mental health wards,Overall,1
1-271962340,07/08/2018,Community end of life care,Safe,1
1-271962340,07/08/2018,Community end of life care,Effective,1
1-271962340,07/08/2018,Community end of life care,Caring,2
1-271962340,07/08/2018,Community end of life care,Responsive,2
1-271962340,07/08/2018,Community end of life care,Well-led,1
1-271962340,07/08/2018,Community end of life care,Overall,1
1-271962340,19/10/2016,Community health (sexual health services),Safe,2
1-271962340,19/10/2016,Community health (sexual health services),Effective,2
1-271962340,19/10/2016,Community health (sexual health services),Caring,2
1-271962340,19/10/2016,Community health (sexual health services),Responsive,2
1-271962340,19/10/2016,Community health (sexual health services),Well-led,2
1-271962340,19/10/2016,Community health (sexual health services),Overall,2
1-271962340,07/08/2018,Community health inpatient services,Safe,2
1-271962340,07/08/2018,Community health inpatient services,Effective,2
1-271962340,07/08/2018,Community health inpatient services,Caring,2
1-271962340,07/08/2018,Community health inpatient services,Responsive,2
1-271962340,07/08/2018,Community health inpatient services,Well-led,2
1-271962340,07/08/2018,Community health inpatient services,Overall,2
1-271962340,19/10/2016,Community health services for adults,Safe,2
1-271962340,19/10/2016,Community health services for adults,Effective,2
1-271962340,19/10/2016,Community health services for adults,Caring,2
1-271962340,19/10/2016,Community health services for adults,Responsive,2
1-271962340,19/10/2016,Community health services for adults,Well-led,2
1-271962340,19/10/2016,Community health services for adults,Overall,2
1-271962340,19/10/2016,"Community health services for children, young people and families",Safe,2
1-271962340,19/10/2016,"Community health services for children, young people and families",Effective,2
1-271962340,19/10/2016,"Community health services for children, young people and families",Caring,2
1-271962340,19/10/2016,"Community health services for children, young people and families",Responsive,2
1-271962340,19/10/2016,"Community health services for children, young people and families",Well-led,2
1-271962340,19/10/2016,"Community health services for children, young people and families",Overall,2
1-271962340,19/10/2016,Community mental health services for people with learning disabilities or autism,Safe,2
1-271962340,19/10/2016,Community mental health services for people with learning disabilities or autism,Effective,2
1-271962340,19/10/2016,Community mental health services for people with learning disabilities or autism,Caring,3
1-271962340,19/10/2016,Community mental health services for people with learning disabilities or autism,Responsive,3
1-271962340,19/10/2016,Community mental health services for people with learning disabilities or autism,Well-led,2
1-271962340,19/10/2016,Community mental health services for people with learning disabilities or autism,Overall,3
1-271962340,07/08/2017,Community-based mental health services for adults of working age,Safe,2
1-271962340,07/08/2017,Community-based mental health services for adults of working age,Effective,2
1-271962340,07/08/2017,Community-based mental health services for adults of working age,Caring,2
1-271962340,07/08/2017,Community-based mental health services for adults of working age,Responsive,2
1-271962340,07/08/2017,Community-based mental health services for adults of working age,Well-led,2
1-271962340,07/08/2017,Community-based mental health services for adults of working age,Overall,2
1-271962340,19/10/2016,Community-based mental health services for older people,Safe,2
1-271962340,19/10/2016,Community-based mental health services for older people,Effective,2
1-271962340,19/10/2016,Community-based mental health services for older people,Caring,2
1-271962340,19/10/2016,Community-based mental health services for older people,Responsive,2
1-271962340,19/10/2016,Community-based mental health services for older people,Well-led,2
1-271962340,19/10/2016,Community-based mental health services for older people,Overall,2
1-271962340,19/10/2016,End of life care,Safe,1
1-271962340,19/10/2016,End of life care,Effective,1
1-271962340,19/10/2016,End of life care,Caring,2
1-271962340,19/10/2016,End of life care,Responsive,2
1-271962340,19/10/2016,End of life care,Well-led,1
1-271962340,19/10/2016,End of life care,Overall,1
1-271962340,19/10/2016,Forensic inpatient/secure wards,Safe,2
1-271962340,19/10/2016,Forensic inpatient/secure wards,Effective,2
1-271962340,19/10/2016,Forensic inpatient/secure wards,Caring,2
1-271962340,19/10/2016,Forensic inpatient/secure wards,Responsive,2
1-271962340,19/10/2016,Forensic inpatient/secure wards,Well-led,2
1-271962340,19/10/2016,Forensic inpatient/secure wards,Overall,2
1-271962340,07/08/2018,Long stay/rehabilitation mental health wards for working age adults,Safe,2
1-271962340,07/08/2018,Long stay/rehabilitation mental health wards for working age adults,Effective,2
1-271962340,07/08/2018,Long stay/rehabilitation mental health wards for working age adults,Caring,2
1-271962340,07/08/2018,Long stay/rehabilitation mental health wards for working age adults,Responsive,2
1-271962340,07/08/2018,Long stay/rehabilitation mental health wards for working age adults,Well-led,2
1-271962340,07/08/2018,Long stay/rehabilitation mental health wards for working age adults,Overall,2
1-271962340,07/08/2018,Mental health crisis services and health-based places of safety,Safe,2
1-271962340,07/08/2018,Mental health crisis services and health-based places of safety,Effective,2
1-271962340,07/08/2018,Mental health crisis services and health-based places of safety,Caring,2
1-271962340,07/08/2018,Mental health crisis services and health-based places of safety,Responsive,2
1-271962340,07/08/2018,Mental health crisis services and health-based places of safety,Well-led,2
1-271962340,07/08/2018,Mental health crisis services and health-based places of safety,Overall,2
1-271962340,07/08/2018,Overall,Safe,2
1-271962340,07/08/2018,Overall,Effective,2
1-271962340,07/08/2018,Overall,Caring,3
1-271962340,07/08/2018,Overall,Responsive,2
1-271962340,07/08/2018,Overall,Well-led,2
1-271962340,07/08/2018,Overall,Overall,2
1-271962340,07/08/2018,Specialist community mental health services for children and young people,Safe,2
1-271962340,07/08/2018,Specialist community mental health services for children and young people,Effective,2
1-271962340,07/08/2018,Specialist community mental health services for children and young people,Caring,2
1-271962340,07/08/2018,Specialist community mental health services for children and young people,Responsive,2
1-271962340,07/08/2018,Specialist community mental health services for children and young people,Well-led,2
1-271962340,07/08/2018,Specialist community mental health services for children and young people,Overall,2
1-271962340,19/10/2016,Urgent care services,Safe,1
1-271962340,19/10/2016,Urgent care services,Effective,2
1-271962340,19/10/2016,Urgent care services,Caring,2
1-271962340,19/10/2016,Urgent care services,Responsive,2
1-271962340,19/10/2016,Urgent care services,Well-led,2
1-271962340,19/10/2016,Urgent care services,Overall,2
1-271962340,07/08/2018,Wards for older people with mental health problems,Safe,2
1-271962340,07/08/2018,Wards for older people with mental health problems,Effective,2
1-271962340,07/08/2018,Wards for older people with mental health problems,Caring,3
1-271962340,07/08/2018,Wards for older people with mental health problems,Responsive,2
1-271962340,07/08/2018,Wards for older people with mental health problems,Well-led,2
1-271962340,07/08/2018,Wards for older people with mental health problems,Overall,2
1-274331683,18/08/2017,Community health inpatient services,Safe,2
1-274331683,18/08/2017,Community health inpatient services,Effective,2
1-274331683,18/08/2017,Community health inpatient services,Caring,2
1-274331683,18/08/2017,Community health inpatient services,Responsive,2
1-274331683,18/08/2017,Community health inpatient services,Well-led,2
1-274331683,18/08/2017,Community health inpatient services,Overall,2
1-274331683,18/08/2017,Community health services for adults,Safe,2
1-274331683,18/08/2017,Community health services for adults,Effective,2
1-274331683,18/08/2017,Community health services for adults,Caring,3
1-274331683,18/08/2017,Community health services for adults,Responsive,2
1-274331683,18/08/2017,Community health services for adults,Well-led,2
1-274331683,18/08/2017,Community health services for adults,Overall,2
1-274331683,18/08/2017,"Community health services for children, young people and families",Safe,2
1-274331683,18/08/2017,"Community health services for children, young people and families",Effective,2
1-274331683,18/08/2017,"Community health services for children, young people and families",Caring,3
1-274331683,18/08/2017,"Community health services for children, young people and families",Responsive,3
1-274331683,18/08/2017,"Community health services for children, young people and families",Well-led,3
1-274331683,18/08/2017,"Community health services for children, young people and families",Overall,3
1-274331683,18/08/2017,Overall,Safe,2
1-274331683,18/08/2017,Overall,Effective,2
1-274331683,18/08/2017,Overall,Caring,3
1-274331683,18/08/2017,Overall,Responsive,3
1-274331683,18/08/2017,Overall,Well-led,3
1-274331683,18/08/2017,Overall,Overall,3
1-286186558,22/03/2017,Community health inpatient services,Safe,2
1-286186558,22/03/2017,Community health inpatient services,Effective,2
1-286186558,22/03/2017,Community health inpatient services,Caring,2
1-286186558,22/03/2017,Community health inpatient services,Responsive,2
1-286186558,22/03/2017,Community health inpatient services,Well-led,2
1-286186558,22/03/2017,Community health inpatient services,Overall,2
1-286186558,22/03/2017,Community health services for adults,Safe,2
1-286186558,22/03/2017,Community health services for adults,Effective,2
1-286186558,22/03/2017,Community health services for adults,Caring,2
1-286186558,22/03/2017,Community health services for adults,Responsive,2
1-286186558,22/03/2017,Community health services for adults,Well-led,2
1-286186558,22/03/2017,Community health services for adults,Overall,2
1-286186558,22/03/2017,"Community health services for children, young people and families",Safe,2
1-286186558,22/03/2017,"Community health services for children, young people and families",Effective,2
1-286186558,22/03/2017,"Community health services for children, young people and families",Caring,2
1-286186558,22/03/2017,"Community health services for children, young people and families",Responsive,2
1-286186558,22/03/2017,"Community health services for children, young people and families",Well-led,2
1-286186558,22/03/2017,"Community health services for children, young people and families",Overall,2
1-286186558,22/03/2017,Overall,Safe,2
1-286186558,22/03/2017,Overall,Effective,2
1-286186558,22/03/2017,Overall,Caring,2
1-286186558,22/03/2017,Overall,Responsive,2
1-286186558,22/03/2017,Overall,Well-led,2
1-286186558,22/03/2017,Overall,Overall,2
1-290660061,28/03/2017,Community health inpatient services,Safe,1
1-290660061,28/03/2017,Community health inpatient services,Effective,2
1-290660061,28/03/2017,Community health inpatient services,Caring,2
1-290660061,28/03/2017,Community health inpatient services,Responsive,2
1-290660061,28/03/2017,Community health inpatient services,Well-led,2
1-290660061,28/03/2017,Community health inpatient services,Overall,2
1-290660061,28/03/2017,Community health services for adults,Safe,1
1-290660061,28/03/2017,Community health services for adults,Effective,2
1-290660061,28/03/2017,Community health services for adults,Caring,3
1-290660061,28/03/2017,Community health services for adults,Responsive,2
1-290660061,28/03/2017,Community health services for adults,Well-led,2
1-290660061,28/03/2017,Community health services for adults,Overall,2
1-290660061,28/03/2017,"Community health services for children, young people and families",Safe,2
1-290660061,28/03/2017,"Community health services for children, young people and families",Effective,2
1-290660061,28/03/2017,"Community health services for children, young people and families",Caring,2
1-290660061,28/03/2017,"Community health services for children, young people and families",Responsive,2
1-290660061,28/03/2017,"Community health services for children, young people and families",Well-led,2
1-290660061,28/03/2017,"Community health services for children, young people and families",Overall,2
1-290660061,28/03/2017,Community mental health services for people with learning disabilities or autism,Safe,2
1-290660061,28/03/2017,Community mental health services for people with learning disabilities or autism,Effective,1
1-290660061,28/03/2017,Community mental health services for people with learning disabilities or autism,Caring,2
1-290660061,28/03/2017,Community mental health services for people with learning disabilities or autism,Responsive,2
1-290660061,28/03/2017,Community mental health services for people with learning disabilities or autism,Well-led,2
1-290660061,28/03/2017,Community mental health services for people with learning disabilities or autism,Overall,2
1-290660061,28/03/2017,End of life care,Safe,2
1-290660061,28/03/2017,End of life care,Effective,3
1-290660061,28/03/2017,End of life care,Caring,3
1-290660061,28/03/2017,End of life care,Responsive,3
1-290660061,28/03/2017,End of life care,Well-led,2
1-290660061,28/03/2017,End of life care,Overall,3
1-290660061,28/03/2017,Overall,Safe,1
1-290660061,28/03/2017,Overall,Effective,2
1-290660061,28/03/2017,Overall,Caring,3
1-290660061,28/03/2017,Overall,Responsive,2
1-290660061,28/03/2017,Overall,Well-led,2
1-290660061,28/03/2017,Overall,Overall,2
1-290660061,28/03/2017,Urgent care services,Safe,2
1-290660061,28/03/2017,Urgent care services,Effective,2
1-290660061,28/03/2017,Urgent care services,Caring,2
1-290660061,28/03/2017,Urgent care services,Responsive,2
1-290660061,28/03/2017,Urgent care services,Well-led,2
1-290660061,28/03/2017,Urgent care services,Overall,2
1-293935970,31/03/2017,Community health services for adults,Safe,1
1-293935970,31/03/2017,Community health services for adults,Effective,2
1-293935970,31/03/2017,Community health services for adults,Caring,2
1-293935970,31/03/2017,Community health services for adults,Responsive,2
1-293935970,31/03/2017,Community health services for adults,Well-led,2
1-293935970,31/03/2017,Community health services for adults,Overall,2
1-293935970,31/03/2017,"Community health services for children, young people and families",Safe,1
1-293935970,31/03/2017,"Community health services for children, young people and families",Effective,2
1-293935970,31/03/2017,"Community health services for children, young people and families",Caring,2
1-293935970,31/03/2017,"Community health services for children, young people and families",Responsive,2
1-293935970,31/03/2017,"Community health services for children, young people and families",Well-led,2
1-293935970,31/03/2017,"Community health services for children, young people and families",Overall,2
1-293935970,31/03/2017,Community mental health services for people with learning disabilities or autism,Safe,2
1-293935970,31/03/2017,Community mental health services for people with learning disabilities or autism,Effective,2
1-293935970,31/03/2017,Community mental health services for people with learning disabilities or autism,Caring,2
1-293935970,31/03/2017,Community mental health services for people with learning disabilities or autism,Responsive,2
1-293935970,31/03/2017,Community mental health services for people with learning disabilities or autism,Well-led,2
1-293935970,31/03/2017,Community mental health services for people with learning disabilities or autism,Overall,2
1-293935970,31/03/2017,End of life care,Safe,2
1-293935970,31/03/2017,End of life care,Effective,2
1-293935970,31/03/2017,End of life care,Caring,2
1-293935970,31/03/2017,End of life care,Responsive,2
1-293935970,31/03/2017,End of life care,Well-led,2
